"Rank","Name","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales"
105,"Need for Speed Underground","PS2",24,"Racing","Electronic Arts",3.27,2.83,0.08,1.02,7.2
106,"Tekken 3","PS",19,"Fighting","Sony Computer Entertainment",3.27,2.22,1.4,0.29,7.16
107,"Crash Bandicoot 3: Warped","PS",19,"Platform","Sony Computer Entertainment",3.68,1.75,1.42,0.28,7.13
108,"Super Smash Bros. Melee","GC",22,"Fighting","Nintendo",4.41,1.04,1.39,0.22,7.07
109,"Mario Kart 8","WiiU",35,"Racing","Nintendo",3.13,2.07,1.27,0.49,6.96
110,"Fallout 4","PS4",36,"Role-Playing","Bethesda Softworks",2.47,3.15,0.24,1.1,6.96
111,"Mario Kart: Double Dash!!","GC",24,"Racing","Nintendo",4.12,1.77,0.87,0.19,6.95
112,"Just Dance 4","Wii",33,"Misc","Ubisoft",4.14,2.21,0,0.56,6.91
113,"FIFA 14","PS3",34,"Sports","Electronic Arts",0.78,4.32,0.07,1.73,6.9
114,"Need for Speed Underground 2","PS2",25,"Racing","Electronic Arts",2.71,3.02,0.08,1.09,6.9
115,"Medal of Honor: Frontline","PS2",23,"Shooter","Electronic Arts",2.93,2.75,0.17,0.99,6.83
116,"Uncharted 3: Drake's Deception","PS3",32,"Action","Sony Computer Entertainment",2.77,2.8,0.19,1.06,6.83
117,"Crash Bandicoot","PS",17,"Platform","Sony Computer Entertainment",3.23,2.35,0.94,0.3,6.82
118,"Zumba Fitness","Wii",31,"Sports","505 Games",3.5,2.64,0,0.67,6.81
119,"Gears of War 2","X360",29,"Shooter","Microsoft Game Studios",4.15,1.92,0.06,0.64,6.76
120,"Uncharted 2: Among Thieves","PS3",30,"Action","Sony Computer Entertainment",3.27,2.25,0.21,1,6.73
121,"Call of Duty 4: Modern Warfare","PS3",28,"Shooter","Activision",3.1,2.3,0.28,1.04,6.72
122,"FIFA 12","PS3",32,"Sports","Electronic Arts",0.84,4.32,0.11,1.42,6.69
123,"Big Brain Academy","DS",26,"Misc","Nintendo",1.67,2.78,1.6,0.62,6.67
124,"Red Dead Redemption","PS3",31,"Action","Take-Two Interactive",2.79,2.61,0.17,1.03,6.6
125,"FIFA 15","PS4",35,"Sports","Electronic Arts",0.79,4.29,0.05,1.47,6.59
126,"Donkey Kong Country Returns","Wii",31,"Platform","Nintendo",3.25,1.84,1.03,0.47,6.59
127,"The Elder Scrolls V: Skyrim","PS3",32,"Role-Playing","Bethesda Softworks",2.55,2.71,0.25,1.05,6.56
128,"The Legend of Zelda","NES",7,"Action","Nintendo",3.74,0.93,1.69,0.14,6.51
129,"Assassin's Creed III","PS3",33,"Action","Ubisoft",2.64,2.56,0.16,1.14,6.5
130,"Halo: Combat Evolved","XB",22,"Shooter","Microsoft Game Studios",4.98,1.3,0.08,0.07,6.43
131,"Pokémon Emerald Version","GBA",25,"Role-Playing","Nintendo",2.57,1.58,2.06,0.21,6.41
132,"Kingdom Hearts","PS2",23,"Role-Playing","Sony Computer Entertainment",3.64,1.2,1.49,0.07,6.4
133,"Pokémon Crystal Version","GB",21,"Role-Playing","Nintendo",2.55,1.56,1.29,0.99,6.39
134,"Halo 3: ODST","X360",30,"Shooter","Microsoft Game Studios",4.34,1.35,0.06,0.61,6.36
135,"Red Dead Redemption","X360",31,"Action","Take-Two Interactive",3.7,1.97,0.09,0.57,6.34
136,"Super Mario Sunshine","GC",23,"Platform","Nintendo",4.01,1.26,0.87,0.17,6.31
137,"Street Fighter II: The World Warrior","SNES",13,"Fighting","Capcom",2.47,0.83,2.87,0.12,6.3
138,"World of Warcraft","PC",25,"Role-Playing","Activision",0.07,6.21,0,0,6.28
139,"Driver","PS",20,"Action","GT Interactive",3.11,2.8,0.02,0.33,6.27
140,"Kinect Sports","X360",31,"Sports","Microsoft Game Studios",3.92,1.78,0.03,0.51,6.24
141,"Gears of War 3","X360",32,"Shooter","Microsoft Game Studios",4.05,1.62,0.07,0.49,6.24
142,"Gears of War","X360",27,"Shooter","Microsoft Game Studios",3.54,1.9,0.07,0.6,6.11
143,"Metal Gear Solid 2: Sons of Liberty","PS2",22,"Action","Konami Digital Entertainment",2.45,2.01,0.87,0.72,6.05
144,"Sonic the Hedgehog 2","GEN",13,"Platform","Sega",4.47,1.2,0.16,0.19,6.03
145,"Metal Gear Solid 4: Guns of the Patriots","PS3",29,"Action","Konami Digital Entertainment",2.63,1.74,0.83,0.83,6.03
146,"Metal Gear Solid","PS",19,"Action","Konami Digital Entertainment",3.18,1.83,0.78,0.24,6.03
147,"The Last of Us","PS3",34,"Action","Sony Computer Entertainment Europe",2.41,2.28,0.28,1.01,5.99
148,"Final Fantasy XII","PS2",27,"Role-Playing","Square Enix",1.88,0,2.33,1.74,5.95
149,"LittleBigPlanet","PS3",29,"Platform","Sony Computer Entertainment",2.8,2.05,0.17,0.9,5.92
150,"Dragon Quest IX: Sentinels of the Starry Skies","DS",30,"Role-Playing","Nintendo",0.66,0.69,4.35,0.15,5.84
151,"LEGO Star Wars: The Complete Saga","Wii",28,"Action","LucasArts",3.66,1.63,0,0.53,5.83
152,"Resident Evil 2","PS",19,"Action","Virgin Interactive",1.88,1.47,2.02,0.45,5.82
153,"Tekken 2","PS",17,"Fighting","Sony Computer Entertainment",2.26,1.89,1.36,0.23,5.74
154,"Cooking Mama","DS",27,"Simulation","505 Games",3.13,1.94,0.07,0.58,5.72
155,"Destiny","PS4",35,"Shooter","Activision",2.49,2.05,0.16,0.96,5.65
156,"Tetris","NES",9,"Puzzle","Nintendo",2.97,0.69,1.81,0.11,5.58
157,"Assassin's Creed II","PS3",30,"Action","Ubisoft",2.54,1.95,0.21,0.87,5.57
158,"Super Smash Bros.","N64",20,"Fighting","Nintendo",2.95,0.6,1.97,0.04,5.55
159,"Assassin's Creed","X360",28,"Adventure","Ubisoft",3.28,1.65,0.07,0.55,5.55
160,"Batman: Arkham City","PS3",32,"Action","Warner Bros. Interactive Entertainment",2.7,1.91,0.11,0.8,5.53
161,"Forza Motorsport 3","X360",30,"Racing","Microsoft Game Studios",2.99,1.92,0.1,0.51,5.51
162,"Monster Hunter Freedom Unite","PSP",29,"Role-Playing","Capcom",0.47,0.57,4.13,0.34,5.5
163,"Super Mario Advance","GBA",22,"Platform","Nintendo",3.14,1.24,0.91,0.2,5.49
164,"Mario Kart: Super Circuit","GBA",22,"Racing","Nintendo",2.62,1.64,0.99,0.23,5.47
165,"Super Mario World","GBA",22,"Platform","Nintendo",3.21,1.11,0.95,0.2,5.46
166,"Pokemon Stadium","N64",20,"Strategy","Nintendo",3.18,1.24,0.94,0.09,5.45
167,"Call of Duty: World at War","PS3",29,"Shooter","Activision",2.72,1.87,0,0.84,5.43
168,"Crash Bandicoot: The Wrath of Cortex","PS2",22,"Platform","Universal Interactive",2.07,2.29,0.24,0.82,5.42
169,"Minecraft","PS3",35,"Misc","Sony Computer Entertainment",1.97,2.51,0,0.94,5.42
170,"Final Fantasy XIII","PS3",30,"Role-Playing","Square Enix",1.74,1.24,1.87,0.52,5.36
171,"Dr. Mario","GB",10,"Puzzle","Nintendo",2.18,0.96,2,0.2,5.34
172,"Pokemon Pinball","GB",20,"Misc","Nintendo",3.02,1.12,1.01,0.16,5.31
173,"Assassin's Creed III","X360",33,"Action","Ubisoft",3.13,1.71,0.03,0.44,5.3
174,"Final Fantasy IX","PS",21,"Role-Playing","SquareSoft",1.62,0.77,2.78,0.14,5.3
175,"Final Fantasy X-2","PS2",24,"Role-Playing","Electronic Arts",1.92,1.08,2.11,0.17,5.29
176,"Donkey Kong 64","N64",20,"Platform","Nintendo",3.33,0.79,1.09,0.06,5.27
177,"Assassin's Creed II","X360",30,"Action","Ubisoft",3.1,1.56,0.08,0.51,5.27
178,"Professor Layton and the Curious Village","DS",28,"Puzzle","Nintendo",1.22,2.48,1.03,0.52,5.26
179,"Tomb Raider II","PS",18,"Action","Eidos Interactive",2.3,2.46,0.2,0.28,5.24
180,"Madden NFL 2004","PS2",40,"Sports","Electronic Arts",4.26,0.26,0.01,0.71,5.23
181,"Dragon Quest VIII: Journey of the Cursed King","PS2",25,"Role-Playing","Square Enix",0.65,0.75,3.61,0.2,5.21
182,"Diablo III","PC",33,"Role-Playing","Activision",2.43,2.15,0,0.62,5.2
183,"Super Mario Bros. 3","GBA",24,"Platform","Nintendo",2.93,1.25,0.83,0.2,5.2
184,"New Super Mario Bros. U","WiiU",33,"Platform","Nintendo",2.32,1.3,1.27,0.31,5.19
185,"Super Mario Land 3: Wario Land","GB",15,"Platform","Nintendo",2.49,0.98,1.57,0.15,5.19
186,"FIFA Soccer 13","X360",33,"Action","Electronic Arts",1.08,3.48,0.03,0.58,5.18
